Station,n.dets,n.ind,mean.ann,mean.mol,mean.art,mean.ech,mean.misc,mean.tot,per.gravel.c,per.gravel.f,per.sand.c,per.sand.m,per.sand.f,per.fines,per.TOC,depth.ft.bot,temp.C.bot,sp.Cond.bot,sal.bot,pH.bot,DO.perc.bot,DO.MgL.bot,depth.ft.mid,temp.C.mid,sp.Cond.mid,sal.mid,pH.mid,DO.perc.mid,DO.MgL.mid,depth.ft.sur,temp.C.sur,sp.Cond.sur,sal.sur,pH.sur,DO.perc.sur,DO.MgL.sur,lat,lon,sta.depth,sta.type
BI_ES22,70003,149,0.0037,0.13563333333333333,0.006666666666666666,0,0.021400000000000002,0.1674,0,0,0,17.1,81.6,1.3,ND,9.46,20.12,49.29,32.29,8.09,87.9,6.59,4.65,19.27,47.71,31.13,8.17,104.7,8.03,0.65,18.82,46.86,30.52,8.2,112.3,8.72,30.24673,-88.89388,3.14,SI Array
BI_ES23,112715,119,0.009366666666666667,0.0591,0.03693333333333333,0.0123,0.0199,0.1376,0,0,0,4.9,94,1.1,ND,8.67,20.13,49.25,32.26,8.17,105.1,7.88,4,19.15,48.4,31.64,8.15,102.2,7.84,0.67,18.49,46.69,30.39,8.19,109.8,8.58,30.25079,-88.88783,2.44,SI Array
BI_ES24,14944,127,9.999999999999999e-5,2.6493333333333333,0.020266666666666665,0,0.0068000000000000005,2.6765,0,0,0,1.7,97,1.3,ND,13.58,19.02,49.68,32.57,8.16,100.1,7.65,6.64,18.66,48.9,32,8.17,102.1,7.88,0.74,18.81,47.94,31.3,8.16,104.4,8.07,30.239,-88.8747,4.28,SI Array
BI_ES25,15340,131,0,0.014766666666666666,0.0054,0,0,0.020166666666666666,0,0,0,1.7,96.6,1.7,ND,13.48,18.51,49.81,32.67,8.13,95.1,7.33,7.56,18.53,48.86,31.97,8.17,101.7,7.87,0.76,18.57,47.74,31.15,8.16,103.7,8.06,30.2344,-88.8819,4.31,SI Array
BI_ES26,13400,122,0.007233333333333333,0.07143333333333333,0.021366666666666666,0.0012333333333333335,3.3333333333333335e-5,0.1013,0,0,0,2.1,97.3,0.6,ND,15.69,18.84,49.94,32.76,8.16,99.8,7.65,7.66,18.92,49.47,32.42,8.16,101,7.74,0.75,18.81,49.12,32.16,8.16,101.2,7.78,30.228,-88.887200000000007,4.98,SI Array
BI_HN1,4674,135,0.31433333333333335,0.06306666666666666,0.045766666666666664,0.12156666666666667,0.0033000000000000004,0.5480333333333334,0,0,1.2,5,48.4,45.4,0.49,17.12,19.19,49.86,32.71,8.02,95,7.23,8.87,18.34,48.4,31.64,8.08,107.2,8.34,0.73,17.59,46.02,29.91,8.09,109.8,8.76,30.2535,-88.7611,5.59,SI Array
BI_HN2,30993,133,0.022533333333333332,0.11170000000000001,0.0204,0.010799999999999999,0.1431,0.3085333333333333,0,0,0,22.6,74.3,3.1,0.069,13.13,18.85,49.11,32.16,7.98,98.2,7.55,6.81,18.32,48.14,31.44,8.02,105.2,8.2,0.72,17.58,47,30.61,8.07,109.7,8.72,30.256,-88.7302,4.23,SI Array
BI_HS1,17385,148,0.009366666666666667,0.09153333333333333,0.011566666666666666,0.0018666666666666666,0.0018333333333333333,0.11616666666666667,0,0,0,1.8,95.9,2.3,0.078,20.18,20.21,51.7,34.05,8.19,100.8,7.47,10.61,20.29,51.69,34.05,8.17,98.8,7.31,0.69,20.76,51.73,34.08,8.16,99.2,7.27,30.2329,-88.76,6.63,SI Array
BI_HS2,10625,115,0.011033333333333332,0.07913333333333333,0.017,0,0,0.10716666666666667,0,0,0,1.3,96.7,2,0.067,16.89,19.22,51.32,33.78,8.19,103.5,7.82,8.36,19.53,51.35,33.8,8.17,100.7,7.57,0.69,20.31,51.5,33.91,8.16,99.4,7.36,30.236,-88.7301,5.64,SI Array
BI_NDK1,230707,165,0.0068000000000000005,0.021666666666666667,0.010266666666666665,0.012033333333333333,0.0624,0.11316666666666667,0,0,0,1.6,97.1,1.3,ND,16.66,19.6,49.88,32.72,8.14,98.9,7.47,8.59,19,48.96,32.05,8.15,102.4,7.85,0.69,18.23,47.81,31.2,8.19,108.7,8.5,30.2559,-88.8561,5.16,SI Array
BI_NDK2,115307,209,0.016133333333333333,0.12413333333333333,0.07903333333333333,0,0.0507,0.27,0,0,0,6.6,91.3,2.1,0.06,18.23,19.77,50.79,33.39,8.16,101.5,7.61,9.15,18.27,48.64,31.81,8.2,110.4,8.59,0.74,17.84,47.96,31.31,8.19,110.1,8.66,30.2561,-88.8323,5.54,SI Array
